Comment,Designator,Footprint,LCSC Part #,Library,Notes
"MP9486AGN-Z 100V buck",U1,SOIC-8-EP,C404013,Extended,"Confirmed."
"33uH 6A inductor",L1,brickdup:L_CYA0850,C19268648,Extended,"SHOU HAN CYA0850-33UH 33uH/3A rated/6A sat, 9.2x8mm molded. Custom footprint pcb/brickdup.pretty/L_CYA0850 - land VERIFIED vs datasheet (terminal D=3.0mm, body 9.2x8.0)."
"Schottky 100V 2A",D1,SMA (DO-214AC),C14996,Extended,"MDD SS210. Confirmed."
"TVS SMBJ45A",D2,SMB (DO-214AA),C42371744,Extended,"Confirmed."
"2.2uF 100V X7R",Cin1,C_1210,C55151,Extended,"Samsung CL32B225KCJSNNE 2.2uF 100V X7R 1210 (ordered; C106115 was out of stock)."
"2.2uF 100V X7R",Cin2,C_1210,C55151,Extended,"same as Cin1"
"100nF 50V X7R",Cin3,C_0603,C14663,Basic,"50V (2x margin on the 25V node; the 100V bulk caps carry the surge). Upgrade to 100V 0603 if desired."
"100nF 16V X7R",Cbst,C_0402,C1525,Basic,"Bootstrap sees only ~6V differential, 16V fine."
"22uF 25V X5R",Cout1,C_1206,C12891,Basic,"CL31A226KAHNNNE 22uF 25V X5R 1206 (ordered; X5R fine on 5V rail in this thermal range)."
"22uF 25V X5R",Cout2,C_1206,C12891,Basic,"same as Cout1"
"100nF 16V X7R",Cout3,C_0402,C1525,Basic,"DNP (optional output HF)."
"22pF 50V C0G",Cff,C_0402,C1555,Basic,"DNP (fit only if MPSmart transient needs it)."
"240k 1% 0402",RFB1,R_0402,C64043,Extended,"0402WGF2403TCE 240k 0402 1% (ordered). Sets 5.0V with RFB2."
"10k 1% 0402",RFB2,R_0402,C25744,Basic,"FB bottom."
"100k 1% 0402",REN1,R_0402,C25741,Basic,"Enable pull-up VBAT->EN."
"DNP enable bottom",REN2,R_0402,C25744,Basic,"DNP. Populate (10k C25744) only to set a UVLO."
"200k 1% 0805",R1,R_0805,C17539,Basic,"Sense divider top."
"22k 1% 0805",R2,R_0805,C17560,Basic,"Sense divider bottom."
"100nF 50V X7R",C1,C_0603,C14663,Basic,"ADC filter, parallel with R2."
"JST PH 2-pin SMD side",J1,JST_PH_S2B-PH-SM4-TB,C295747,Extended,"VBAT/GND in (LEMO cable). Confirmed."
"JST PH 3-pin SMD side",J2,JST_PH_S3B-PH-SM4-TB,C265101,Extended,"5V/SENSE/GND out (Heltec). Confirmed."
